Age,Salary,Purchased
58,55222,1
48,97373,1
34,99575,1
27,83335,0
40,30965,0
58,44538,0
38,90592,1
42,28110,0
30,99309,0
30,47266,0
43,72992,1
55,26910,0
59,20206,0
43,43419,0
22,70636,0
41,70015,1
21,74268,0
43,38141,0
49,91910,1
57,76044,1
21,87214,0
40,53827,1
52,75820,1
31,82623,1
41,95450,1
44,42299,0
46,63585,1
47,84044,1
35,62557,1
34,69080,1
22,22693,0
56,89163,1
26,45939,0
40,68925,1
28,62941,0
58,41834,0
37,38047,0
23,46105,0
44,95766,1
33,35707,0
28,41976,0
45,64262,1
21,43776,0
39,50080,1
47,86842,1
26,81373,0
27,26776,0
54,75016,1
33,29474,0
36,78053,1
55,41959,0
59,25530,0
23,23748,0
21,33545,0
25,86199,0
23,54766,0
48,93530,1
37,81087,1
45,88840,1
53,74384,1
29,71005,0
55,66576,1
33,59353,1
50,82003,1
34,72733,1
27,85318,0
33,43664,0
42,87172,1
59,46736,0
40,20854,0
35,58623,1
37,27392,0
43,75680,1
45,66717,1
44,70859,1
48,46309,0
34,83734,1
20,90467,0
44,72662,1
26,32688,0
28,45342,0
43,57157,1
20,87863,0
27,72083,0
43,85733,1
30,54698,0
36,42671,0
27,45184,0
54,62107,1
54,71663,1
52,35708,0
24,69811,0
58,22811,0
47,76250,1
26,92082,0
28,54754,0
27,31411,0
31,22911,0
53,87270,1
52,28680,0
